publisher_id,publisher_name
519,Cuento De Luz Sl
520,Highlights Press
521,Sterling Children's Books
522,Familius
523,Happy Fox Books
524,Maverick Arts
525,Rowman & Littlefield
526,NubeOcho
527,Flamingo Books
528,American Psychological Association
529,Welbeck Children's
530,Peachtree Publishing Company
531,Barefoot Books
532,LB Kids
533,Crocodile Books
534,Akashic Books
535,Tate Publishing
536,Anne Schwartz Books
537,Hay House
538,Gryphon Press
539,Penguin Books Australia
540,Cardinal Rule Press
541,West Margin Press
542,Collective Book Studio
543,Milky Way
544,Greenleaf Book Group Llc
545,Northsouth Books
546,Orchard Books
547,Abrams Appleseed
548,Kar-Ben Publishing (R)
549,Michael O'Mara Books Ltd
550,National Center for Youth Issues
551,Words & Pictures
552,Faber & Faber
553,Flowerpot Press
554,Blue Balloon Books
555,Immedium
556,Scribblers
557,Simon & Schuster Ltd
558,Gestalten
559,감은사
560,미우(대원씨아이)
561,Catapult
562,박영사
563,Henry Holt Books for Young Readers
564,Laurel Leaf
565,북스톤
566,北京大学出版社
567,CYPRESS BOOK CO LTD IMPORT
568,내일을여는책
569,그린비
570,북로드
571,알마 출판사
572,&(앤드)
573,부크럼
574,호밀밭
575,한즈미디어
576,좋은땅
577,라이프런
578,책세상
579,더난출판
580,웅진지식하우스
581,뿌리와이파리
582,오월의봄
583,샘터사
584,유유
585,예문아카이브
586,더플래닛
587,더숲
588,목수책방
589,도서출판 서촌
590,열화당
591,슬로래빗
592,비엘북스
593,학산문화사(단행본)
594,For Dummies
595,Gbrain(지브레인)
596,지식산업정보원
597,혜지원
598,Hansebooks
599,Henry Holt & Company
600,Wednesday Books
601,John Wiley & Sons Inc
602,Oxford Univ Pr
603,현대지성
604,태을출판사(진화당)
605,오엘북스
606,시그마프레스
607,보누스
608,반니
609,해나무
610,Mid(엠아이디)
611,동아엠앤비
612,북아띠
613,알에이치코리아(RHK)
614,나비의활주로
615,슬로디미디어
616,아라크네
617,베가북스
618,"비전비엔피(비전코리아,애플북스)"
619,시그마북스
620,두연
621,시크릿하우스
622,바이킹
623,이페이지
624,논장
625,더디퍼런스
626,키다리
627,자음과모음
628,매일경제신문사
629,사람과나무사이
630,탐나는책
631,이지북
632,안타레스
633,가나출판사
634,살림
635,유노북스
636,모아북스
637,북하우스
638,생각의빛
639,코난북스
640,플레이타임
641,책읽는귀족
642,아시안허브
643,공명
644,미래북
645,에포크
646,생각나눔(기획실크)
647,토크쇼
648,북스고
649,미디어숲
650,온이퍼브
651,대박출판사
652,술이부작 출판사
653,갈라북스
654,경이북스
655,끌리는책
656,설렘(슬로디미디어)
657,창해
658,굿인포메이션
659,매직머니
660,책내다
661,트랜스리치
662,원앤원북스
663,프로방스
664,북씽크
665,유노라이프
666,테크빌교육(즐거운학교)
667,와일즈북
668,좋은습관연구소
669,이음
670,중앙생활사
671,황금부엉이
672,상상출판
673,서사원
674,보국
675,New York Review of Books
676,Tor Books
677,Orion Publishing Co
678,Orbit
679,Orion
680,Macmillan
681,Tor Teen
682,Putnam Pub Group
683,Random House Trade
684,스마트베어
685,Aurum Press
686,Frances Lincoln Publishers Ltd
687,Random House Childrens Books
688,Greystone Kids
689,에이케이커뮤니케이션즈
690,팬덤북스
691,속뜻사전교육출판사
692,Harper Voyager
693,Picador USA
694,MIT Press
695,雙葉社
696,Fox Chapel Publishing
697,Turtleback Books
698,Stacey Broadbent
699,Penguin Books
700,Profile Books Ltd
701,Tom Doherty Associates
702,Vintage
703,Knopf Doubleday Publishing Group
704,Odd Dot
705,Atria/One Signal Publishers
706,RiverheadBooks
707,Del Rey Books
708,PublicAffairs
709,Vertical Inc
710,Capstone Pr Inc
711,Andrews McMeel Pub
712,Bantam
713,New Growth Press
714,Hastings House
715,Cambridge University Press
716,Random House Graphic
717,Titan Books
718,Uclan Publishing
719,templar publishing
720,White Rock Press
721,Asante Publishing
722,Media Lab Books
723,偕成社
724,Little Door Books
725,Idea & Design Works Llc
726,Sigal Adler
727,Piper
728,Nha Nam
729,Book-Art Press Solutions LLC
730,Ecco Press
731,STUDIO PRESS
732,Delacorte Pr
733,Sharon Kuhn Young
734,Black Dog & Leventhal Publishers
735,Lonely Planet Global Limited
736,QED Publishing
737,Die Gestalten Verlag
738,큐브 엔터테인먼트(Cube)
739,유니버설(Universal)
740,소니뮤직(SonyMusic)
741,워너뮤직(WEA)
742,제뉴인뮤직 (구 힙합플레이야)
743,Kakao Entertainment
744,Audite
745,스톤뮤직엔터테인먼트(Stone Music Ent.)
746,Canongate Books
747,Scribner Book Company
748,GrandCentralPublishing
749,Welbeck Editions
750,360 Degrees
751,FriesenPress
752,Purple House Press
753,Atlantic Books
754,Young Authors Publishing
755,Freshamedia
756,Bullfrog Books
757,Jump! Inc.
758,Puffin Books
759,Jump!
760,POGO BOOKS
761,Pan MacMillan Childrens
762,Houghton Mifflin Harcourt
763,바른북스
764,춘자
765,미메시스
766,사월의책
767,토트
768,블루프린트
769,숨쉬는행복
770,동아
771,책읽는곰
772,위즈덤하우스
773,달리
774,한겨레출판
775,푸른숲
776,생각의힘
777,Delacorte Press
778,Mira Books
779,寶島社
780,マイウェイ出版
781,靑弓社
782,キネマ旬報社
783,エイ出版社
784,光文社
785,英和出版社
786,文化出版局
787,日東書院本社
788,廣濟堂出版
789,太田出版
790,學硏プラス
791,新星出版社
792,한국에디션나암
793,생각속의집
794,생각정원
795,올림
796,젤리판다
797,도서출판 포르투나
798,창원기계공업고등학교
799,아토포스
800,시사랑음악사랑(시음사)
801,클
802,엘리
803,불광출판사
804,원더박스
805,템북
806,두드림M&B
807,Currency
808,Cartwheel Books
809,mineditionUS
810,Grand Central Publishing
811,산지
812,Penguin Group
813,CCC(씨씨씨)
814,경희대학교출판문화원(경희대학교출판부)
815,에이케이코믹스(AKCOMICS)
816,blackD(블랙디)
817,K-크리에이터
818,자유아카데미
819,그림책
820,Turtleback
821,AndersenPress
822,WalkerBooks
823,책내음
824,에이콘출판
825,파라사이언스
826,굿위즈덤
827,Harvest House Publishers
828,키즈아이콘(아이코닉스)
829,소동
830,B Media Company
831,문학동네
832,고래이야기
833,휴(休)
834,푸른영토
835,한문화
836,성안당
837,시사IN북
838,Simon&Schuster
839,씽크스마트
840,RandomHouse
841,열린책들
842,워터베어프레스
843,블랙피쉬
844,추수밭(청림출판)
845,한국경제신문
846,메이트북스
847,아날로그(글담)
848,흐름출판
849,허블
850,이담북스
851,비아에듀
852,보물창고
853,잇츠북어린이
854,빈빈책방
855,들녘
856,영진.com(영진닷컴)
857,천개의바람
858,㈜소미미디어
859,비아북
860,그림책(도서출판)
861,거북이북스
862,산하
863,스푼북
864,그린북
865,새로온봄
866,ㅁ(미음)
867,미디어샘
868,시와반시
869,나무발전소
870,북스피어
871,레몬북스
872,고래가숨쉬는도서관
873,위키북스
874,라이온북스
875,포널스
876,성균관대학교출판부
877,북트리거
878,을유문화사
879,(주)도서출판책과함께
880,열다
881,밝은미래
882,바른번역(왓북)
883,문예출판사
884,교학사
885,산지니
886,책속물고기
887,돌베개
888,다섯수레
889,사이드웨이
890,키효북스
891,스튜디오오드리
892,라이팅하우스
893,몽실북스
894,책빛
895,계수나무
896,한솔수북
897,블루홀식스(블루홀6)
898,대한파크골프협회
899,하이북스
900,마음이음
901,ars edition
902,cbt
903,Blanvalet
904,책이있는풍경
905,Kensington Publishing Corporation
906,Harperalley
907,Dark Horse Books
908,HarperFestival
909,Titan Books Ltd
910,Penguin Group USA
911,Thorndike Striving Reader
912,Kensington
913,Kensington Pub Corp
914,Arrow
915,예림당
916,마음시회
917,arte(아르테)
918,Dorling Kindersley
919,Academy Chicago Pub
920,集英社
921,リット-ミュ-ジック
922,미도움
923,Toon Books
924,한국소설가협회
925,Book Insight
926,세미한
927,미래가치
928,靑幻舍
929,三起商行
930,칸무비
931,Bloomsbury Export
932,대원씨아이(만화)
933,Metropolitan Museum of Art New York
934,Abrams Image
935,Backbeat Books
936,Phaidon Press
937,Taschen
938,Modern Curriculum Press
939,Modern Curriculum Pr
940,Andersen Press Ltd
941,Top That! Publishing Plc
942,Capstone Press
943,巴蜀书社
944,소란i(소란아이)
945,위즈덤
946,敎育畵劇
947,巖崎書店
948,あかね書房
949,White Elephant Books
950,"Little,BrownBooksforYoungReaders"
951,Bloomsbury Ya
952,My Crazy Stories
953,Lantana Publishing
954,"Farrar, Straus and Giroux (BYR)"
955,Two Lions
956,Carolrhoda Books (R)
957,Capstone Editions
958,Abrams Books for Young Readers
959,Flyaway Books
960,Lee & Low Books
961,Carolrhoda Lab (R)
962,Creston Books
963,Harper Perennial
964,Sourcebooks Fire
965,Bonnier Books UK
966,Balzer & Bray/Harperteen
967,PRH Canada Young Readers
968,SoftSkull
969,Timber Press (OR)
970,Polity Press
971,Quercus Publishing
972,Flatiron Books
973,Penguin Publishing Group
974,Wellfleet Press
975,OverlookPress
976,Reaktion Books
977,E P Dutton
978,HarperOne
979,Potter/Ten Speed/Harmony/Rodale
980,Random House Large Print Publishing
981,Univ of Chicago Pr
982,비비투(VIVI2)
983,작은숲
984,허원북스
985,유아이북스
986,스타북스
987,다돌출판사
988,에듀니티
989,시간의물레
990,CJ 엔터테인먼트
991,플레인아카이브(Plain Archive)
992,너나드리
993,생활성서사
994,이든북
995,일신서적
996,비즈니스북스
997,양철북
